fullName,htmlUrl,stars,topics,watchers,topicCount,kind
JetBrains/teamcity-docker-agent,https://github.com/JetBrains/teamcity-docker-agent,72,"[docker-image, teamcity, teamcity-agent]",72,3,Other
JetBrains/youtrack-mobile,https://github.com/JetBrains/youtrack-mobile,210,"[android, ios, react, react-native, youtrack]",210,5,Other
JetBrains/sbt-idea-plugin,https://github.com/JetBrains/sbt-idea-plugin,61,"[intellij, intellij-ide, intellij-platform, intellij-plugin, plugin-sbt, sbt, sbt-plugin]",61,7,IntelliJ
JetBrains/xodus-dnq,https://github.com/JetBrains/xodus-dnq,76,"[database, hub, kotlin, nosql, xodus, xodus-dnq, youtrack]",76,7,Kotlin
JetBrains/jb-rpd-splash,https://github.com/JetBrains/jb-rpd-splash,114,"[generative-art, jetbrains, rpd-engine]",114,3,Other
JetBrains/resharper-fsharp,https://github.com/JetBrains/resharper-fsharp,245,"[fsharp, hacktoberfest, jetbrains, plugin, resharper, rider]",245,6,Other
JetBrains/phpstorm-docker-images,https://github.com/JetBrains/phpstorm-docker-images,132,[],132,0,Other
JetBrains/ruby-type-inference,https://github.com/JetBrains/ruby-type-inference,129,"[dynamic-analysis, ruby, rubymine, static-analysis]",129,4,Other
JetBrains/svg-mixer,https://github.com/JetBrains/svg-mixer,151,[],151,0,Other
JetBrains/gradle-grammar-kit-plugin,https://github.com/JetBrains/gradle-grammar-kit-plugin,54,"[bnf, gradle-plugin, intellij, jflex]",54,4,IntelliJ
JetBrains/teamcity-kubernetes-plugin,https://github.com/JetBrains/teamcity-kubernetes-plugin,55,"[continuous-integration, docker, kubernetes, teamcity]",55,4,Other
JetBrains/kotlin-wrappers,https://github.com/JetBrains/kotlin-wrappers,919,"[css, kotlin, kotlin-js, react, react-router-dom, redux, styled-components]",919,7,Kotlin
JetBrains/create-react-kotlin-app,https://github.com/JetBrains/create-react-kotlin-app,2424,"[create-react-app, jetbrains-ui, kotlin, react, webpack]",2424,5,Kotlin
JetBrains/ideolog,https://github.com/JetBrains/ideolog,186,[],186,0,Other
JetBrains/kotlin-playground,https://github.com/JetBrains/kotlin-playground,251,"[kotlin, kotlin-playground, playground]",251,3,Kotlin
JetBrains/intellij-arend,https://github.com/JetBrains/intellij-arend,77,"[arend, intellij, intellij-plugin]",77,3,IntelliJ
JetBrains/ring-ui,https://github.com/JetBrains/ring-ui,2836,"[components, jetbrains-ui, react]",2836,3,Other
JetBrains/inspection-plugin,https://github.com/JetBrains/inspection-plugin,252,[],252,0,Other
JetBrains/gradle-idea-ext-plugin,https://github.com/JetBrains/gradle-idea-ext-plugin,155,[],155,0,IntelliJ
JetBrains/awesome-pycharm,https://github.com/JetBrains/awesome-pycharm,186,"[awesome, ide, pycharm, python, web-development]",186,5,Other
JetBrains/intellij-scala-bundle,https://github.com/JetBrains/intellij-scala-bundle,93,"[education, intellij, scala]",93,3,IntelliJ
